t_s,cx_px,cy_px,displacement_px
0.5043965639997623,400.744387755102,257.70595238095234,0.0
0.6151576899992506,398.10154577883475,272.7212049147839,15.246062520082232
0.6254282089994376,394.68967181467184,281.7803249678249,24.824081061962023
0.6332221510001546,389.85864495887387,283.72534554396674,28.20475521604741
0.6410249389991804,383.67466666666667,277.43368888888887,26.087525098474682
0.6600268530000903,375.22818727026504,266.86148191139483,27.10904292233866
0.691975404999539,365.761719211241,253.63573031054432,35.218657074796056
0.7254615669990017,355.96384369350574,235.0362953692115,50.191737123579784
0.7563015739997354,346.858811579482,213.74352463179278,69.54387373003192
0.7939500769989536,337.3977792292619,194.9544959721315,89.16578992614926
0.8242575530002796,325.14092426638547,175.8775259181163,111.40814633083822
0.8585785289997148,312.6927400468384,162.38579234972676,129.76527105708453
0.8882072849992255,301.1192501575299,156.03654694391935,142.3440762492594
0.9224664169996686,289.56362507759155,155.35955927995033,151.11567149153572
0.9570526369989238,279.58703878902554,156.96452223273414,157.56883878735655
0.9908158039997943,268.66218708827404,163.002371541502,162.52530866547067
1.0206321829991793,258.90889043639737,175.02959610027855,164.1727388682213
1.054666742000336,250.76121135380393,190.41416059934576,164.38716021819343
1.084798977999526,246.47247551502872,206.35978835978833,162.5922859975133
1.1229947209994862,242.86674930275797,224.71366594360086,161.28806430623845
1.152930213000218,241.7512812125177,242.9354486969796,159.67772451766658
1.186701272999926,243.20765540258657,255.28108051731328,157.55539357274682
1.2167096430002857,247.085533046859,263.54818907305093,153.76987793392905
1.2501559129996167,251.87468671679196,266.1898746867168,149.11124982685266
1.2848387800004275,258.1192718141871,264.1371625863151,142.7700394405808
1.3187447219988826,267.3110890871049,256.59365708622397,133.4379346147324
1.348740858000383,279.5825350036846,243.25669368705476,122.02039025900275
1.3829170400003932,291.60453725186903,228.88399071925755,112.88140875226642
1.412555158000032,304.2794688713516,212.28510584993109,106.62332706703134
1.450669267000194,315.9415759278773,197.0561995082543,104.25885774035235
1.480437398999129,329.69297627437163,180.59173126614985,104.85659813071716
1.514831578999292,342.2107765451664,169.9080824088748,105.52084918588237
1.5447966060000908,355.81312697047866,162.17693704022162,105.5680395179592
1.576427017998867,369.1920240371483,158.44650824000726,104.15367927903189
1.612818719999268,382.21005699577125,160.76475455046884,98.69709850601087
1.646571829000095,394.10614940924734,168.04223648711505,89.90911052961845
1.676120631998856,403.8594550849744,179.80892006114556,77.95929251027526
1.7105841289994714,412.98463816398294,196.68295391449195,62.23849349003988
1.744651631999659,419.7895917451772,215.2854194706146,46.4996925518935
1.7787061799990624,425.3894526845346,233.85185185185185,34.29864920705158
1.8086645040002622,428.0901385493072,249.24107579462103,28.625936178937327
1.8427309229991806,426.2420625447601,262.36325296411235,25.919526778108164
1.8724663249995501,421.50432848860294,270.4578667302041,24.363629836892603
1.9108820929996,415.1202276499881,270.93241640977,19.534690255773338
1.940622292999251,405.40913737516706,265.8157584335928,9.355685075361443
1.9744193770002312,394.7840006550397,255.42151805453204,6.383169633835294
2.004688795999755,382.5392285489373,241.49619522435057,24.3758907282956
2.0385510830001294,369.45114365011005,226.66149870801033,44.0797598730535
2.0727548759987258,353.49588416145986,210.42556778736486,66.84202165670905
2.106615201999375,339.2951483844829,195.10786994834396,87.71846409660444
2.1366156120002415,324.0373408769448,180.94521452145213,108.51811792278151
2.1709891030004655,309.2737727910238,171.6143992519869,125.61301255070721
2.200459702999069,293.3936965811966,166.53685897435898,140.84024456133042
2.2388959899999463,279.3745170354759,164.7236564805058,152.89327280628459
2.2689410610000778,266.12,169.05849765258216,161.18963058539003
2.302754446000108,253.97860295528687,175.3209556706966,168.30770413398938
2.332667661999949,242.87584986495295,185.23274657725622,173.7090694668483
2.3667332869990787,234.18059348261423,196.7198252321136,177.37757825345898
2.400936861999071,228.29777171441563,210.49276944065485,178.7929529574304
2.4346886749990517,223.9532037437005,223.41819654427647,180.0854601139935
2.464761166998869,222.0074587107086,234.02406322145265,180.29897858386042
2.4988326089987822,222.72547969656404,241.74850513163764,178.73268237529717
2.52872315499917,225.89400313453766,248.4127691165553,175.09717375544633
2.5668456149996928,231.1111387369468,248.4658544670976,169.88472144932012
2.5967049809987657,238.88246121483039,243.58278552020332,162.47691253068803
2.6305904109995026,248.8143226282761,236.98246585455885,153.33690874427845
2.6607138239996857,260.24081477251093,228.20968970112315,143.56630361248347
2.6945990479998727,273.35032270311314,217.45757403189066,133.60082249073017
2.728708999000446,287.62313759859774,206.57873210633946,124.13867201633505
2.763137893000021,305.27935307708464,193.9795211090107,114.78079494729319
2.7923889239991695,322.18609593199756,181.79579032584493,109.24174072851783
2.8265308199988795,337.80250120250116,175.44636844636844,103.57760487620541
2.8566877569992357,354.34799774393684,173.73434856175973,95.9367252622039
2.895125901999563,370.7916081296244,173.4581811370235,89.41395845650605
2.924692567999955,387.42111173498034,177.53078794684632,81.27463734735633
2.958943265999551,403.20565193061,185.1306659205372,72.61700920688591
2.9882151860001613,417.60496292070735,195.9608290549534,64.00577512582632
